Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCA_000690595.2,FASTA,Protein,3789,1063482,30,280.7,1578
GCA_000746705.1,FASTA,Protein,693,159276,22,229.8,1264
GCA_000746765.1,FASTA,Protein,1737,411819,21,237.1,2073
GCA_000789255.1,FASTA,Protein,2232,574920,30,257.6,1817
GCA_000806015.1,FASTA,Protein,858,198717,26,231.6,2521
GCA_000806115.1,FASTA,Protein,1029,257431,31,250.2,4137
GCA_000806155.1,FASTA,Protein,1062,252727,30,238,1560
GCA_000830275.1,FASTA,Protein,1341,376073,30,280.4,5465
GCA_000830295.1,FASTA,Protein,1309,358792,32,274.1,1787
GCA_000830315.1,FASTA,Protein,1015,256866,33,253.1,4020
GCA_000960885.1,FASTA,Protein,2197,519703,20,236.6,2330
GCA_000965745.1,FASTA,Protein,2292,660817,30,288.3,2110
GCA_001189275.1,FASTA,Protein,2279,594779,30,261,2703
GCA_001273335.1,FASTA,Protein,733,193212,22,263.6,1896
GCA_001273385.1,FASTA,Protein,1735,447090,31,257.7,1906
GCA_001315925.1,FASTA,Protein,4076,530476,20,130.1,816
GCA_001315965.1,FASTA,Protein,4374,695731,21,159.1,1157
GCA_001315985.1,FASTA,Protein,4330,709775,23,163.9,895
GCA_001316005.1,FASTA,Protein,3631,618263,21,170.3,895
GCA_001316125.1,FASTA,Protein,4769,708948,30,148.7,1074
GCA_001316245.1,FASTA,Protein,3924,718652,28,183.1,1128
GCA_001316265.1,FASTA,Protein,3873,656803,24,169.6,913
GCA_001316285.1,FASTA,Protein,4111,671239,23,163.3,969
GCA_001316325.1,FASTA,Protein,3826,644943,25,168.6,1501
GCA_001399795.1,FASTA,Protein,1800,405471,30,225.3,1826
GCA_001399805.1,FASTA,Protein,2466,520318,23,211,1944
GCA_001412335.1,FASTA,Protein,2457,640529,20,260.7,2321
GCA_001412355.1,FASTA,Protein,2185,629651,21,288.2,1764
GCA_001421175.1,FASTA,Protein,1497,392117,23,261.9,1651
GCA_001421185.1,FASTA,Protein,2515,625327,20,248.6,2252
GCA_001437625.1,FASTA,Protein,1698,382179,21,225.1,1267
GCA_001443365.1,FASTA,Protein,1653,408211,24,247,1264
GCA_001507955.1,FASTA,Protein,1604,411040,21,256.3,1604
GCA_001509375.1,FASTA,Protein,2466,688445,22,279.2,2929
GCA_001510275.1,FASTA,Protein,1532,371759,22,242.7,1430
GCA_001510295.1,FASTA,Protein,842,207107,24,246,1317
GCA_001512375.1,FASTA,Protein,2415,572875,20,237.2,1877
GCA_001512965.1,FASTA,Protein,1887,522625,20,277,1613
GCA_001515185.1,FASTA,Protein,984,237817,24,241.7,1610
GCA_001515205.2,FASTA,Protein,1350,375587,21,278.2,1256
GCA_001516585.1,FASTA,Protein,2099,543526,21,258.9,2416
GCA_001516765.1,FASTA,Protein,1384,308578,20,223,907
GCA_001543015.1,FASTA,Protein,2269,571053,21,251.7,7205
GCA_001552015.1,FASTA,Protein,665,188513,38,283.5,1418
GCA_001560915.1,FASTA,Protein,1837,582735,30,317.2,3979
GCA_001563305.1,FASTA,Protein,1544,487503,30,315.7,4396
GCA_001563325.1,FASTA,Protein,3403,984736,21,289.4,4336
GCA_001563335.1,FASTA,Protein,3438,1075041,29,312.7,4675
GCA_001563795.1,FASTA,Protein,2570,705858,24,274.7,1528
GCA_001563805.1,FASTA,Protein,3066,818638,21,267,3874
GCA_001563875.1,FASTA,Protein,860,217863,20,253.3,1262
GCA_001563885.1,FASTA,Protein,2139,594811,21,278.1,1820
GCA_001563905.1,FASTA,Protein,798,203848,22,255.4,1618
GCA_001563915.1,FASTA,Protein,920,249108,27,270.8,7853
GCA_001563965.1,FASTA,Protein,1432,381148,20,266.2,1356
GCA_001563995.1,FASTA,Protein,807,198548,21,246,1946
GCA_001564035.1,FASTA,Protein,731,175975,23,240.7,1020
GCA_001564115.1,FASTA,Protein,2360,668282,20,283.2,1724
GCA_001564135.1,FASTA,Protein,2296,628841,20,273.9,1745
GCA_001564145.1,FASTA,Protein,645,163836,23,254,1414
GCA_001564205.1,FASTA,Protein,1583,441748,21,279.1,1352
GCA_001564255.1,FASTA,Protein,2318,637279,20,274.9,3680
GCA_001564275.1,FASTA,Protein,3145,896476,20,285,1885
GCA_001587575.1,FASTA,Protein,1760,479183,26,272.3,2109
GCA_001587595.1,FASTA,Protein,1656,448859,22,271.1,1644
GCA_001587675.1,FASTA,Protein,2204,545233,26,247.4,1649
GCA_001587715.1,FASTA,Protein,2545,609882,21,239.6,1649
GCA_001593845.1,FASTA,Protein,964,250250,22,259.6,1409
GCA_001593855.1,FASTA,Protein,976,251305,23,257.5,1283
GCA_001593865.1,FASTA,Protein,1853,526402,20,284.1,1565
GCA_001593875.1,FASTA,Protein,872,221491,22,254,1273
GCA_001593925.1,FASTA,Protein,1463,400208,20,273.6,2243
GCA_001593935.1,FASTA,Protein,1932,561973,23,290.9,2363
GCA_001595785.1,FASTA,Protein,1622,448584,22,276.6,3364
GCA_001595885.1,FASTA,Protein,1197,382140,24,319.2,2882
GCA_001595915.1,FASTA,Protein,1918,580430,22,302.6,2521
GCA_001595945.1,FASTA,Protein,2112,595345,21,281.9,1658
GCA_001602645.1,FASTA,Protein,2585,748425,20,289.5,2399
GCA_001627235.1,FASTA,Protein,1346,315082,20,234.1,1179
GCA_001628485.1,FASTA,Protein,1183,410199,35,346.7,5915
GCA_001629205.1,FASTA,Protein,1320,401043,22,303.8,3756
GCA_001629235.1,FASTA,Protein,1164,342308,23,294.1,2637
GCA_001629255.1,FASTA,Protein,1128,374974,24,332.4,2865
GCA_001714685.2,FASTA,Protein,3750,986467,21,263.1,1894
GCA_001717015.1,FASTA,Protein,1424,374383,34,262.9,1707
GCA_001717025.1,FASTA,Protein,1550,405876,23,261.9,1765
GCA_001717035.1,FASTA,Protein,1757,488762,30,278.2,1748
GCA_001723845.1,FASTA,Protein,2588,745347,21,288,5439
GCA_001723855.1,FASTA,Protein,2404,624285,20,259.7,5024
GCA_001742785.1,FASTA,Protein,1458,392467,30,269.2,6032
GCA_001761425.1,FASTA,Protein,1222,339119,30,277.5,8562
GCA_001766815.1,FASTA,Protein,1763,515850,22,292.6,2616
GCA_001766825.1,FASTA,Protein,1571,449854,21,286.3,2515
GCA_001768965.1,FASTA,Protein,1580,373614,22,236.5,1271
GCA_001774245.1,FASTA,Protein,2355,555194,22,235.8,1554
GCA_001775955.1,FASTA,Protein,1823,461074,27,252.9,1401
GCA_001775965.1,FASTA,Protein,1452,358669,20,247,1424
GCA_001775995.1,FASTA,Protein,932,244775,27,262.6,1261
GCA_001784635.1,FASTA,Protein,1114,258600,31,232.1,2835
GCA_001786395.1,FASTA,Protein,1936,455714,23,235.4,2931
GCA_001786415.1,FASTA,Protein,753,177334,21,235.5,2283
GCA_001800675.1,FASTA,Protein,1488,461434,23,310.1,2185
GCA_001800745.1,FASTA,Protein,1618,468269,24,289.4,3545
GCA_001800815.1,FASTA,Protein,1798,569657,26,316.8,3323
GCA_001800825.1,FASTA,Protein,2346,648724,21,276.5,2960
GCA_001856825.1,FASTA,Protein,1754,501087,20,285.7,2928
GCA_001871415.1,FASTA,Protein,1516,455026,25,300.1,4636
GCA_001871475.1,FASTA,Protein,1200,355576,30,296.3,4548
GCA_001871495.1,FASTA,Protein,1345,338304,33,251.5,2883
GCA_001871535.1,FASTA,Protein,1280,341022,20,266.4,3093
GCA_001871595.1,FASTA,Protein,1296,365856,20,282.3,3828
GCA_001872185.1,FASTA,Protein,854,205604,26,240.8,1996
GCA_001872315.1,FASTA,Protein,882,214067,30,242.7,3352
GCA_001873845.1,FASTA,Protein,1628,438433,20,269.3,5586
GCA_001875345.1,FASTA,Protein,1107,379741,22,343,6910
GCA_001875365.1,FASTA,Protein,676,228619,35,338.2,2364
GCA_001875425.1,FASTA,Protein,989,335212,27,338.9,3118
GCA_001896715.1,FASTA,Protein,3007,792429,20,263.5,1801
GCA_001896725.1,FASTA,Protein,2106,636254,25,302.1,1848
GCA_001914405.1,FASTA,Protein,2076,527078,30,253.9,1739
GCA_001915065.1,FASTA,Protein,2048,514373,22,251.2,2354
GCA_001917995.1,FASTA,Protein,1645,410343,22,249.4,1829
GCA_001918745.1,FASTA,Protein,2046,522001,26,255.1,4461
GCA_001918765.1,FASTA,Protein,1557,387465,30,248.9,1287
GCA_001919285.1,FASTA,Protein,1726,440347,20,255.1,3841
GCA_001920395.1,FASTA,Protein,1249,309232,25,247.6,1896
GCA_001940645.1,FASTA,Protein,5526,1570442,20,284.2,10267
GCA_001940655.1,FASTA,Protein,4413,1131116,25,256.3,2414
GCA_001940665.1,FASTA,Protein,1586,441016,30,278.1,1628
GCA_001940705.1,FASTA,Protein,2957,871017,20,294.6,3997
GCA_001940725.1,FASTA,Protein,4702,1381458,20,293.8,7963
GCA_001940755.1,FASTA,Protein,2365,693280,23,293.1,3334
GCA_001940805.1,FASTA,Protein,2025,581947,20,287.4,1581
GCA_002009975.1,FASTA,Protein,2602,725366,30,278.8,1986
GCA_002010045.1,FASTA,Protein,2332,619786,25,265.8,4188
GCA_002010075.1,FASTA,Protein,1549,404253,24,261,1555
GCA_002010195.1,FASTA,Protein,2154,591184,20,274.5,2596
GCA_002010215.1,FASTA,Protein,2200,596316,26,271.1,1664
GCA_002010285.1,FASTA,Protein,1865,546454,20,293,2491
GCA_002010305.1,FASTA,Protein,2389,644098,23,269.6,1812
GCA_002010925.1,FASTA,Protein,1303,318968,22,244.8,1284
GCA_002010975.1,FASTA,Protein,1024,271566,29,265.2,1274
GCA_002011035.1,FASTA,Protein,1876,515793,24,274.9,1279
GCA_002011075.1,FASTA,Protein,1723,510310,34,296.2,1844
GCA_002011085.1,FASTA,Protein,1664,504026,32,302.9,1510
GCA_002011125.1,FASTA,Protein,2279,635616,22,278.9,10365
GCA_002011165.1,FASTA,Protein,1656,440967,32,266.3,1336
GCA_002011215.1,FASTA,Protein,2851,788664,21,276.6,2152
GCA_002011235.1,FASTA,Protein,2583,693364,22,268.4,1600
GCA_002011355.1,FASTA,Protein,1380,381861,21,276.7,1681
GCA_002011395.1,FASTA,Protein,1423,393493,22,276.5,2112
GCA_002067035.1,FASTA,Protein,2916,841436,21,288.6,4086
GCA_002067045.1,FASTA,Protein,1929,541237,20,280.6,2441
GCA_002067065.1,FASTA,Protein,2514,705815,20,280.8,3965
GCA_002067095.1,FASTA,Protein,2300,660882,21,287.3,2404
GCA_002067265.1,FASTA,Protein,2134,560571,21,262.7,1642
GCA_002067275.1,FASTA,Protein,2112,615309,21,291.3,1848
GCA_002067315.1,FASTA,Protein,3332,904799,21,271.5,1771
GCA_002067325.1,FASTA,Protein,2414,633082,20,262.3,2271
GCA_002067365.1,FASTA,Protein,2870,798209,22,278.1,1876
GCA_002067565.1,FASTA,Protein,2083,508511,20,244.1,2242
GCA_002067635.1,FASTA,Protein,1699,458733,20,270,1804
GCA_002067705.1,FASTA,Protein,3570,1007651,20,282.3,4242
GCA_002067755.1,FASTA,Protein,2400,667798,20,278.2,2205
GCA_002067795.1,FASTA,Protein,2341,687046,21,293.5,3783
GCA_002067865.1,FASTA,Protein,2176,677219,33,311.2,2292
GCA_002067895.1,FASTA,Protein,2443,683402,25,279.7,4115
GCA_002068435.1,FASTA,Protein,2469,652736,20,264.4,3590
GCA_002068885.1,FASTA,Protein,1035,272371,20,263.2,2500
GCA_002069705.1,FASTA,Protein,1058,268740,22,254,3951
GCA_002083985.1,FASTA,Protein,1484,391620,20,263.9,2384
GCA_002170315.2,FASTA,Protein,1516,572821,29,377.9,3190
GCA_002170775.2,FASTA,Protein,1243,460933,36,370.8,4246
GCA_002171315.2,FASTA,Protein,1288,472090,20,366.5,3172
GCA_002172185.1,FASTA,Protein,738,264028,52,357.8,3149
GCA_002172355.2,FASTA,Protein,1285,476833,22,371.1,3164
GCA_002172375.1,FASTA,Protein,1368,445198,24,325.4,7293
GCA_002254385.1,FASTA,Protein,1551,557180,23,359.2,2534
GCA_002254395.1,FASTA,Protein,487,116708,30,239.6,2634
GCA_002254405.1,FASTA,Protein,1049,292465,25,278.8,1725
GCA_002254415.1,FASTA,Protein,651,173780,31,266.9,1901
GCA_002254545.1,FASTA,Protein,628,152142,27,242.3,1547
GCA_002254565.1,FASTA,Protein,1576,431238,24,273.6,4026
GCA_002254595.1,FASTA,Protein,853,222164,28,260.5,1110
GCA_002254665.1,FASTA,Protein,1587,426958,20,269,1934
GCA_002254745.1,FASTA,Protein,1055,243259,26,230.6,1411
GCA_002254765.1,FASTA,Protein,1132,318216,21,281.1,2574
GCA_002254805.1,FASTA,Protein,364,85387,22,234.6,1184
GCA_002254825.2,FASTA,Protein,1173,315943,21,269.3,1755
GCA_002254885.1,FASTA,Protein,1240,355382,23,286.6,1654
GCA_002254895.1,FASTA,Protein,890,200206,24,225,1001
GCA_002254975.1,FASTA,Protein,801,189468,25,236.5,1284
GCA_002255025.1,FASTA,Protein,1164,300928,20,258.5,2088
GCA_002255045.1,FASTA,Protein,1554,397416,21,255.7,1286
GCA_002255065.1,FASTA,Protein,1114,276827,29,248.5,1401
GCA_002255105.1,FASTA,Protein,1051,266772,22,253.8,1263
GCA_002256595.1,FASTA,Protein,1734,429458,21,247.7,1452
GCA_002287215.1,FASTA,Protein,1732,503157,30,290.5,2645
GCA_002317795.1,FASTA,Protein,2373,555924,23,234.3,7250
GCA_002457145.1,FASTA,Protein,1180,432439,25,366.5,3232
GCA_002457155.1,FASTA,Protein,1047,383378,20,366.2,6074
GCA_002457195.1,FASTA,Protein,1083,404621,22,373.6,3344
GCA_002457555.1,FASTA,Protein,1107,405774,24,366.6,3179
GCA_002457595.1,FASTA,Protein,840,280099,34,333.5,1895
GCA_002457605.1,FASTA,Protein,920,327757,23,356.3,2664
GCA_002490245.1,FASTA,Protein,1460,402497,25,275.7,2628
GCA_002494495.1,FASTA,Protein,1935,529677,29,273.7,1860
GCA_002494625.1,FASTA,Protein,2230,624967,24,280.3,2017
GCA_002494645.1,FASTA,Protein,1514,559477,23,369.5,4614
GCA_002494725.1,FASTA,Protein,2100,570837,27,271.8,1951
GCA_002494765.1,FASTA,Protein,1703,487515,23,286.3,1558
GCA_002494885.1,FASTA,Protein,2382,627346,24,263.4,1752
GCA_002494895.1,FASTA,Protein,1982,468705,20,236.5,1394
GCA_002494975.1,FASTA,Protein,1308,410426,20,313.8,3172
GCA_002495025.1,FASTA,Protein,1436,398836,27,277.7,1390
GCA_002495055.1,FASTA,Protein,2871,784549,22,273.3,5133
GCA_002495065.1,FASTA,Protein,2529,668799,20,264.5,5405
GCA_002495185.1,FASTA,Protein,1860,543334,25,292.1,2798
GCA_002495205.1,FASTA,Protein,1090,237797,24,218.2,1196
GCA_002495225.1,FASTA,Protein,2208,554463,20,251.1,1495
GCA_002495235.1,FASTA,Protein,1199,320116,26,267,1158
GCA_002495315.1,FASTA,Protein,1707,498538,20,292.1,1381
GCA_002495325.1,FASTA,Protein,1479,435801,23,294.7,1925
GCA_002495465.1,FASTA,Protein,714,176717,26,247.5,1658
GCA_002495485.1,FASTA,Protein,2432,518880,20,213.4,1203
GCA_002495525.1,FASTA,Protein,1232,428263,22,347.6,3172
GCA_002495535.1,FASTA,Protein,1576,560741,22,355.8,3184
GCA_002495625.1,FASTA,Protein,2520,706225,23,280.2,2696
GCA_002495645.1,FASTA,Protein,1595,575072,23,360.5,3764
GCA_002495675.1,FASTA,Protein,1187,419450,30,353.4,4287
GCA_002495685.1,FASTA,Protein,1617,477769,31,295.5,2051
GCA_002495735.1,FASTA,Protein,1058,331471,20,313.3,2664
GCA_002495845.1,FASTA,Protein,1823,475626,20,260.9,1289
GCA_002495885.1,FASTA,Protein,1862,469902,22,252.4,3305
GCA_002495905.1,FASTA,Protein,941,261331,28,277.7,1479
GCA_002495945.1,FASTA,Protein,1432,458260,23,320,2974
GCA_002496015.1,FASTA,Protein,1062,270256,30,254.5,3016
GCA_002496065.1,FASTA,Protein,1709,366404,20,214.4,1594
GCA_002496355.1,FASTA,Protein,1589,463911,20,292,2286
GCA_002496385.1,FASTA,Protein,1631,598520,26,367,6296
GCA_002496395.1,FASTA,Protein,2187,628917,21,287.6,2054
GCA_002496425.1,FASTA,Protein,1214,342966,30,282.5,1285
GCA_002496475.1,FASTA,Protein,1890,469784,21,248.6,1264
GCA_002496485.1,FASTA,Protein,1279,407523,28,318.6,4447
GCA_002496565.1,FASTA,Protein,3081,903151,20,293.1,1907
GCA_002496635.1,FASTA,Protein,1462,466946,20,319.4,3169
GCA_002496725.1,FASTA,Protein,1193,416515,21,349.1,2900
GCA_002496805.1,FASTA,Protein,1978,552208,25,279.2,2375
GCA_002496845.1,FASTA,Protein,1639,586534,22,357.9,4759
GCA_002496905.1,FASTA,Protein,1253,391300,24,312.3,3179
GCA_002496955.1,FASTA,Protein,1468,484979,21,330.4,3173
GCA_002497025.1,FASTA,Protein,1332,435426,25,326.9,2849
GCA_002497075.1,FASTA,Protein,1891,560898,24,296.6,3611
GCA_002497245.1,FASTA,Protein,1224,426708,29,348.6,3174
GCA_002497285.1,FASTA,Protein,1077,267296,31,248.2,2907
GCA_002497295.1,FASTA,Protein,1212,421583,20,347.8,3151
GCA_002497345.1,FASTA,Protein,1539,401924,24,261.2,1299
GCA_002497485.1,FASTA,Protein,1987,481981,20,242.6,2343
GCA_002497685.1,FASTA,Protein,839,239158,23,285.1,1570
GCA_002497765.1,FASTA,Protein,1545,555524,22,359.6,4609
GCA_002497895.1,FASTA,Protein,1154,365147,24,316.4,2842
GCA_002497905.1,FASTA,Protein,1478,551723,24,373.3,4622
GCA_002497965.1,FASTA,Protein,1763,440012,20,249.6,1363
GCA_002497985.1,FASTA,Protein,839,277939,25,331.3,2402
GCA_002498065.1,FASTA,Protein,2492,687530,20,275.9,1686
GCA_002498125.1,FASTA,Protein,1560,410751,23,263.3,2022
GCA_002498185.1,FASTA,Protein,1521,481203,20,316.4,3015
GCA_002498205.1,FASTA,Protein,1126,384006,23,341,2991
GCA_002498285.1,FASTA,Protein,2237,487894,22,218.1,2207
GCA_002498315.1,FASTA,Protein,2310,687870,30,297.8,2072
GCA_002498365.1,FASTA,Protein,1380,402371,24,291.6,1856
GCA_002498375.1,FASTA,Protein,1606,463618,26,288.7,1576
GCA_002498385.1,FASTA,Protein,2000,540195,32,270.1,2811
GCA_002498455.1,FASTA,Protein,1539,562997,25,365.8,4576
GCA_002498525.1,FASTA,Protein,1378,479321,24,347.8,3891
GCA_002498605.1,FASTA,Protein,1230,358380,20,291.4,1856
GCA_002498725.1,FASTA,Protein,1300,459430,20,353.4,3169
GCA_002498845.1,FASTA,Protein,1919,539662,24,281.2,2122
GCA_002498925.1,FASTA,Protein,1169,391787,32,335.1,2985
GCA_002498985.1,FASTA,Protein,1114,378409,22,339.7,3169
GCA_002499005.1,FASTA,Protein,1290,360852,26,279.7,1500
GCA_002499015.1,FASTA,Protein,1597,507478,26,317.8,2975
GCA_002499085.1,FASTA,Protein,1503,519945,26,345.9,6274
GCA_002499185.1,FASTA,Protein,1173,286969,20,244.6,1706
GCA_002499195.1,FASTA,Protein,1535,580902,20,378.4,4552
GCA_002499325.1,FASTA,Protein,1191,333464,20,280,2987
GCA_002499345.1,FASTA,Protein,996,344187,22,345.6,3170
GCA_002499405.1,FASTA,Protein,886,229802,23,259.4,3045
GCA_002499445.1,FASTA,Protein,2656,785352,20,295.7,1865
GCA_002499455.1,FASTA,Protein,2506,653860,20,260.9,1383
GCA_002499525.1,FASTA,Protein,1251,282711,22,226,1186
GCA_002499545.1,FASTA,Protein,1537,572985,28,372.8,4542
GCA_002499585.1,FASTA,Protein,1190,424036,24,356.3,4095
GCA_002499705.1,FASTA,Protein,1603,575293,24,358.9,3192
GCA_002499865.1,FASTA,Protein,1169,392401,21,335.7,3172
GCA_002499905.1,FASTA,Protein,2065,578546,22,280.2,1391
GCA_002501605.1,FASTA,Protein,1135,395807,20,348.7,3173
GCA_002501655.1,FASTA,Protein,2568,767618,22,298.9,3403
GCA_002501695.1,FASTA,Protein,2446,669794,21,273.8,1546
GCA_002501765.1,FASTA,Protein,1910,512365,20,268.3,2154
GCA_002501805.1,FASTA,Protein,1183,420232,24,355.2,3172
GCA_002501845.1,FASTA,Protein,1540,323657,21,210.2,1550
GCA_002501855.1,FASTA,Protein,4233,718940,20,169.8,1191
GCA_002501885.1,FASTA,Protein,1200,397967,20,331.6,3166
GCA_002501965.1,FASTA,Protein,1655,420728,21,254.2,2036
GCA_002502045.1,FASTA,Protein,874,239711,28,274.3,3050
GCA_002502095.1,FASTA,Protein,1181,413981,29,350.5,3172
GCA_002502135.1,FASTA,Protein,839,224435,21,267.5,1813
GCA_002502175.1,FASTA,Protein,1258,430857,27,342.5,3179
GCA_002502215.1,FASTA,Protein,1624,575497,21,354.4,2986
GCA_002502245.1,FASTA,Protein,2244,609254,26,271.5,1718
GCA_002502295.1,FASTA,Protein,1727,592816,20,343.3,4600
GCA_002502365.1,FASTA,Protein,975,328041,27,336.5,3183
GCA_002502605.1,FASTA,Protein,1608,573627,23,356.7,4514
GCA_002502625.1,FASTA,Protein,1571,563492,29,358.7,4571
GCA_002502685.1,FASTA,Protein,1036,289049,21,279,2828
GCA_002502705.1,FASTA,Protein,1817,433858,23,238.8,1593
GCA_002502735.1,FASTA,Protein,2399,690679,30,287.9,3808
GCA_002502785.1,FASTA,Protein,2466,717831,21,291.1,2934
GCA_002502855.1,FASTA,Protein,2398,585856,27,244.3,1730
GCA_002502965.1,FASTA,Protein,1253,385228,31,307.4,2080
GCA_002503045.1,FASTA,Protein,1356,467236,23,344.6,4569
GCA_002503055.1,FASTA,Protein,1108,404207,28,364.8,3166
GCA_002503105.1,FASTA,Protein,1705,449275,21,263.5,1684
GCA_002503135.1,FASTA,Protein,1475,380166,20,257.7,1285
GCA_002503205.1,FASTA,Protein,1814,511733,22,282.1,2105
GCA_002503215.1,FASTA,Protein,937,255985,22,273.2,3012
GCA_002503285.1,FASTA,Protein,1333,478372,23,358.9,5252
GCA_002503395.1,FASTA,Protein,1823,528994,21,290.2,4687
GCA_002503545.1,FASTA,Protein,1279,375699,23,293.7,1924
GCA_002503595.1,FASTA,Protein,2640,689925,20,261.3,2222
GCA_002503665.1,FASTA,Protein,1061,355206,25,334.8,3077
GCA_002503705.1,FASTA,Protein,1315,358322,22,272.5,2507
GCA_002503825.1,FASTA,Protein,2820,809395,31,287,5514
GCA_002503845.1,FASTA,Protein,1170,348243,26,297.6,1495
GCA_002503885.1,FASTA,Protein,2670,742079,21,277.9,2509
GCA_002503985.1,FASTA,Protein,1721,538421,28,312.9,2376
GCA_002504405.1,FASTA,Protein,1606,495713,30,308.7,1852
GCA_002504435.1,FASTA,Protein,1105,387539,20,350.7,3171
GCA_002504495.1,FASTA,Protein,1648,478237,20,290.2,2072
GCA_002504525.1,FASTA,Protein,2224,618415,26,278.1,2191
GCA_002504725.1,FASTA,Protein,1958,540497,26,276,2069
GCA_002504845.1,FASTA,Protein,1183,382378,21,323.2,2791
GCA_002504905.1,FASTA,Protein,1266,446072,26,352.3,3174
GCA_002505185.1,FASTA,Protein,1694,433781,20,256.1,1550
GCA_002505325.1,FASTA,Protein,1140,360378,22,316.1,2664
GCA_002505345.1,FASTA,Protein,1401,412688,28,294.6,1858
GCA_002505355.1,FASTA,Protein,1502,520539,22,346.6,3173
GCA_002505405.1,FASTA,Protein,1641,598013,23,364.4,3206
GCA_002505455.1,FASTA,Protein,1297,447214,23,344.8,3150
GCA_002505485.1,FASTA,Protein,3346,921532,20,275.4,1911
GCA_002505495.1,FASTA,Protein,1865,488310,23,261.8,4615
GCA_002505525.1,FASTA,Protein,1418,391901,22,276.4,1702
GCA_002505585.1,FASTA,Protein,913,235879,26,258.4,2741
GCA_002505685.1,FASTA,Protein,1328,467469,22,352,3273
GCA_002505695.1,FASTA,Protein,1139,399938,30,351.1,2972
GCA_002505765.1,FASTA,Protein,2348,615978,27,262.3,1733
GCA_002505775.1,FASTA,Protein,1194,420380,21,352.1,3173
GCA_002505805.1,FASTA,Protein,2533,615534,20,243,1459
GCA_002505935.1,FASTA,Protein,1459,485755,22,332.9,3139
GCA_002505945.1,FASTA,Protein,1060,274447,20,258.9,3161
GCA_002506015.1,FASTA,Protein,2581,666601,21,258.3,1914
GCA_002506025.1,FASTA,Protein,1297,407965,20,314.5,3804
GCA_002506085.1,FASTA,Protein,1807,522959,21,289.4,1579
GCA_002506105.1,FASTA,Protein,2281,655597,21,287.4,1917
GCA_002506175.1,FASTA,Protein,1235,369817,24,299.4,3658
GCA_002506255.1,FASTA,Protein,917,233922,20,255.1,1345
GCA_002506275.1,FASTA,Protein,981,364123,21,371.2,4595
GCA_002506335.1,FASTA,Protein,2856,590401,20,206.7,1288
GCA_002506365.1,FASTA,Protein,1335,411632,22,308.3,5062
GCA_002506425.1,FASTA,Protein,1546,452995,23,293,1871
GCA_002506485.1,FASTA,Protein,1089,343470,20,315.4,2546
